,From,Subject,class
192,Bertrand.Ovan@gastech.com.kronos,Safety First!,Other
203,Adan.Morlun@gastech.com.kronos,Caution downtown,Other
235,Orhan.Strum@gastech.com.kronos,Impact of Kronos politics on upcoming rollout,Change/schedule
237,Sven.Flecha@gastech.com.kronos,Staff still leaving computers unlocked when they leave at the day,Other
238,Linda.Lagos@gastech.com.kronos,Babysitting recommendations,Work
239,Bertrand.Ovan@gastech.com.kronos,Union meeting,Change/schedule
241,Felix.Balas@gastech.com.kronos,Downhole prediction 2522-00 - updated,Work
243,Benito.Hawelon@gastech.com.kronos,Who’s tracking the office pool,Work
244,Lucas.Alcazar@gastech.com.kronos,Anyone have a spare monitor?,Other
247,Mat.Bramar@gastech.com.kronos,Paid holiday reminders,Change/schedule
248,Sten.Sanjorge Jr.@gastech.com.tethys,Suggest topics for upcoming retreat,Change/schedule
250,Sten.Sanjorge Jr.@gastech.com.tethys,Vistors from Tethys,Spam
253,Stenig.Fusil@gastech.com.kronos,Awwww- cute!,Weird
258,Rachel.Pantanal@gastech.com.kronos,Question - new travel forms,Weird
279,Mat.Bramar@gastech.com.kronos,Parking lottery winners,Change/schedule
282,Mat.Bramar@gastech.com.kronos,Vacation donation request,Change/schedule
289,Loreto.Bodrogi@gastech.com.kronos,Notification of outside visit,Work
293,Rachel.Pantanal@gastech.com.kronos,Does anyone have ...,Other
298,Felix.Balas@gastech.com.kronos,Field work rotation schedule,Change/schedule
300,Lucas.Alcazar@gastech.com.kronos,GT website under attack,Weird
302,Sven.Flecha@gastech.com.kronos,Question about behavior of field device,Weird
334,Claudio.Hawelon@gastech.com.kronos,Funny!!,Weird
335,Ingrid.Barranco@gastech.com.kronos,Impact of local politics on profit margin,Weird
338,Lucas.Alcazar@gastech.com.kronos,Can anyone swap on-call slots with me?,Other
339,Nils.Calixto@gastech.com.kronos,Security patches needed,Work
343,Hideki.Cocinaro@gastech.com.kronos,Tools,Work
345,Edvard.Vann@gastech.com.kronos,Security procedures for January 20 VIP visit,Work
358,Cornelia.Lais@gastech.com.kronos,You never get a second chance to make a first impression,Other
360,Lucas.Alcazar@gastech.com.kronos,Software review report,Work
363,Mat.Bramar@gastech.com.kronos,Remember Casino night!,Social
371,Stenig.Fusil@gastech.com.kronos,Security update: how to handle reporters on the grounds,Work
374,Elsa.Orilla@gastech.com.kronos,GIS update,Work
390,Felix.Resumir@gastech.com.kronos,They need that report today,Other
396,Ada.Campo-Corrente@gastech.com.kronos,Impromptu golf vacation - who's in?,Social
412,Rachel.Pantanal@gastech.com.kronos,Missing sweater,Weird
437,Gustav.Cazar@gastech.com.kronos,2516-00 openhole logging results,Work
438,Mat.Bramar@gastech.com.kronos,Changes to travel policy,Change/schedule
439,Axel.Calzas@gastech.com.kronos,Out of staples,Weird
441,Isak.Baza@gastech.com.kronos,Hardware failures,Work
442,Kare.Orilla@gastech.com.kronos,Concert,Social
443,Elsa.Orilla@gastech.com.kronos,Equipment calibration,Work
444,Nils.Calixto@gastech.com.kronos,No problem,Other
445,Emile.Arpa@gastech.com.kronos,Copier,Work
455,Sten.Sanjorge Jr.@gastech.com.tethys,Reception after the corporate meeting Monday morning,Social
460,Brand.Tempestad@gastech.com.kronos,Downhole logging scheduled for 2516-00,Work
461,Isia.Vann@gastech.com.kronos,Still busy?,Other
463,Cornelia.Lais@gastech.com.kronos,Training opportunity,Work
466,Cornelia.Lais@gastech.com.kronos,Joke - funny!,Weird
468,Nils.Calixto@gastech.com.kronos,Anyone have time to help troubleshoot some software?,Other
469,Carla.Forluniau@gastech.com.kronos,Need volunteers - charity bake sale,Other
474,Claudio.Hawelon@gastech.com.kronos,Who took the toolbox out of my truck?,Weird
475,Mat.Bramar@gastech.com.kronos,GASTech announcements,Change/schedule
477,Hideki.Cocinaro@gastech.com.kronos,Updated assignments,Change/schedule
484,Isia.Vann@gastech.com.kronos,New gyro place opened nearby,Weird
485,Cornelia.Lais@gastech.com.kronos,Coupon club,Social
487,Mat.Bramar@gastech.com.kronos,Watch found,Other
488,Sven.Flecha@gastech.com.kronos,Web site,Work
497,Isia.Vann@gastech.com.kronos,Vacation scheduling procedures,Change/schedule
499,Isak.Baza@gastech.com.kronos,Who's up for lunch?,Other
500,Ada.Campo-Corrente@gastech.com.kronos,Recommendations for a good investment advisor?,Work
554,Isia.Vann@gastech.com.kronos,The rest of the files are in your mailbox,Weird
555,Isia.Vann@gastech.com.kronos,Did you like the flowers?,Weird
556,Mat.Bramar@gastech.com.kronos,How to Prepare for the January 20 VIP Meetings,Change/schedule
557,Lucas.Alcazar@gastech.com.kronos,Have you seen this?  New security tool,Other
558,Lidelse.Dedos@gastech.com.kronos,HASR Injection Progress,Work
559,Linda.Lagos@gastech.com.kronos,Training question,Work
563,Marin.Onda@gastech.com.kronos,Cased-hole inspection schedule,Work
564,Nils.Calixto@gastech.com.kronos,Spam reports,Spam
566,Orhan.Strum@gastech.com.kronos,Managing perceptions about the IPO,Work
573,Carla.Forluniau@gastech.com.kronos,Anyone have time to help on a project?,Other
582,Rachel.Pantanal@gastech.com.kronos,When you have a minute,Other
592,Gustav.Cazar@gastech.com.kronos,2497-00 Initial flow rates,Work
593,Willem.Vasco-Pais@gastech.com.kronos,Recommend a good vacation spot?,Other
594,Mat.Bramar@gastech.com.kronos,News on VIP Visit January 20 - Please Read!,Other
599,Vira.Frente@gastech.com.kronos,2497-00 Perforation,Undefined
608,Emile.Arpa@gastech.com.kronos,"Guys night out - sorry, ladies",Other
618,Isia.Vann@gastech.com.kronos,Testing 1 2 3,Work
620,Sven.Flecha@gastech.com.kronos,Hackathon Friday night - my place,Social
631,Ruscella.Mies.Haber@gastech.com.kronos,FW: ARISE - Inspiration for Defenders of Kronos,Other
672,Nils.Calixto@gastech.com.kronos,Action: Review network logs,Work
673,Mat.Bramar@gastech.com.kronos,Mandatory training,Work
674,Lucas.Alcazar@gastech.com.kronos,Patch status,Work
676,Lucas.Alcazar@gastech.com.kronos,Seeing strange network activity,Weird
689,Isak.Baza@gastech.com.kronos,Take a look at this,Other
691,Isak.Baza@gastech.com.kronos,Man your battlestations!,Other
699,Isak.Baza@gastech.com.kronos,Can someone verify this behavior?,Other
704,Willem.Vasco-Pais@gastech.com.kronos,Operational efficiencies,Work
707,Orhan.Strum@gastech.com.kronos,Maximizing quarterly profits,Change/schedule
733,Linnea.Bergen@gastech.com.kronos,Action: Virus detected on your system,Weird
735,Sven.Flecha@gastech.com.kronos,Conference report,Work
756,Lucas.Alcazar@gastech.com.kronos,Article - interesting,Weird
770,Mat.Bramar@gastech.com.kronos,Updated Safety Policies,Work
811,Isak.Baza@gastech.com.kronos,The most creative spam I've seen lately.,Weird
813,Orhan.Strum@gastech.com.kronos,Ha ha,Other
814,Isande.Borrasca@gastech.com.kronos,On my way,Other
820,Nils.Calixto@gastech.com.kronos,Draft report - comments needed by Monday,Change/schedule
824,Lucas.Alcazar@gastech.com.kronos,Favor - water plants please next month,Weird
835,Mat.Bramar@gastech.com.kronos,Reminder: Refer all media inquiries,Change/schedule
837,Axel.Calzas@gastech.com.kronos,Going home sick,Other
840,Sven.Flecha@gastech.com.kronos,New hardware - advice needed?,Weird
843,Mat.Bramar@gastech.com.kronos,Employee of the month,Change/schedule
872,Mat.Bramar@gastech.com.kronos,Equipment audit approaching,Work
886,Ada.Campo-Corrente@gastech.com.kronos,Deadline changed?,Change/schedule
919,Mat.Bramar@gastech.com.kronos,Overtime policy reminder,Change/schedule
929,Mat.Bramar@gastech.com.kronos,Registration open: retirement planning seminar,Change/schedule
1042,Marin.Onda@gastech.com.kronos,NO DECAF - HA HA,Other
1098,Mat.Bramar@gastech.com.kronos,Reorganization,Change/schedule
